Preguntas,Categoría,Respuesta,Respuesta Mejorada, 
¿Cuál es la diferencia de inscribirse a las materias como libre o regular?,Ingreso,"El régimen de correlatividades de cada carrera establece:
1. Cuáles materias deben haberse aprobado y
2. Cuáles materias deben haberse regularizado

Para poder inscribirse como estudiante regular de una nueva materia. Quienes se inscriban como tal, podrán alcanzar, al finalizar la misma, y asumiendo que hayan cumplido durante su cursado con los requisitos establecidos en su programa, la condición de estudiante regular de esa materia. Cada estudiante que haya alcanzado esa condición tendrá derecho, por el término de dos años, a rendir el examen de la materia con el mismo programa con que la regularizó. En algunas materias puede incluso existir el beneficio de un examen diferenciado para aquellos/as estudiantes que alcanzaron la regularidad. Si la materia es promocionable, quienes hayan aprobado las materias del punto 2 tendrán la posibilidad de alcanzar la promoción de la materia cumpliendo con los requisitos establecidos en su programa.

Quienes no cumplan con el requisito mencionado en el punto 2 podrán solicitar excepcionalmente la inscripción como estudiante libre a la Secretaría Académica. En caso de aceptarse, tendrán derecho a rendir los parciales y realizar los trabajos prácticos y demás actividades de la materia, pero no podrán alcanzar la condición de estudiante regular ni promocional.","📌 *Inscripción regular*:
* Cumplís con las *correlatividades* de tu carrera (materias aprobadas o regularizadas).
* Podés promocionar si la materia lo permite.
* Tenés 2 años para rendir el final con el mismo programa.
* En algunas materias, puede existir el eneficio de un examen diferenciado.

📌 *Inscripción libre*:
* No cumplís las correlatividades.
* Podés cursar y rendir parciales, pero no promocionás.
* No podrás obtener la regularidad.

🔗 Más info: https://tinyurl.com/faq-ingresantes",
¿Cómo me inscribo para cursar las materias?,Ingreso,"La inscripción a las materias se realizará según la siguiente categorías:

La fecha de inscripción serán desde el día 2 de Marzo a las 14:00 hs hasta el día 13 de Marzo a las 23:59 horas. Exceptuando las materias del primer cuatrimestre de primer año que se habilitarán a partir del día 3 de Marzo a las 14:00 hs hasta el 14 de Marzo a las 23:59 hs.

Ingresantes:

Los ingresantes que realizaron la inscripción definitiva y hayan promocionado, aprobado el examen o regularizado el curso de nivelación, podrán inscribirse a cursar las materias de primer año que se dictarán en el primer cuatrimestre a través de Guaraní, siguiende los siguientes pasos:

1. Ingresar a Guaraní y buscar la opción ""Inscripción a Materias"".
2. Elegí la materia que desees cursar y hace clic en ""Inscribirse"".
3. Esperar unos días para ingresar al Aula Virtual de la materia.

Recordá que ya se encuentrán cargadas las notas de promocion (Aprobado o Reprobado) en el ""Historia Académica"" dentro de tu Guaraní. En caso de rendir examen el 4 de Marzo, las notas estarán cargadas en este mismo menú entre el 5 y el 6 de Marzo.

Los ingresantes que NO realizaron la inscripción definitiva, podrán inscribirse a cursar materias de forma condicional, siempre y cuando hayan aprobado o regularizado el Curso de Nivelación llenando el siguiente formulario: https://forms.gle/QPTgwJexfJqqqHKE7. Recueden hacer la inscripción definitiva apenas obtengan el Certificado de Secundario Completo o Constancia., enviándola a despachoestudiantes@famaf.unc.edu.ar hasta el 30 de Abril.

No ingresantes:

Para alumnos no ingresantes primero deberán ingresar a Guaraní y, antes que nada, realizar la reinscripción anual. Luego, seguir los siguientes pasos.

1. Ingresar al menú ""Inscripción a Materias"".
2. Elegí la materia que desees cursar y hace clic en ""Inscribirse"".
2. Una vez inscripto/a en Guaraní deberás esperar hasta el martes 10 de marzo para entrar al Aula Virutal de la materia.

Para verificar las aulas y horarios de cursado lo podes hacer en Guaraní dentro del menú ""Reportes"" y seleccionando ""Agenda"" o podes hacerlo desde la página web de FAMAF en https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/ seleccionando la carrera que estás cursando y mover el selector de fechas hasta la semana del 9 de marzo del 2026 para poder visualizar los horarios de clase.

Especialidades y Optativas:

Para inscribirte en Especialidades u Optativas deberás llenar el siguiente formulario: https://forms.gle/VccEhhg5BVnDU85H9, una vez que tu solicitud sea procesada se te informará al email si has sido inscripto/a o no.

Para los alumnos de intercambio (Estudiante Regular Internacional) y vocacionales se puede encontrar información para la inscripción en este documento: https://docs.google.com/document/d/1TPRDsXlJKBgg3A-l56oh-lBuLG4OV5gkBH_lz5Grutw/edit

Para inscribirte como alumno libre (solo para materias de segundo año en adelante) debés tener aprobadas las materais correlativas de las correlativas de la asignatura que pretendern cursar, aunque no tengan regularizadas las materias correlativas de esa asignatura. Esto no aplica para materias de Metodología y Practica de la Enseñanza, Especialidades, Optativas ni Experimentales. Los incriptos como libres tendrán deracho a rendir evaluaciones parciales, trabajos prácticos y de laboratorio junto con demás actividades que se establezcan en el cursado, pero no podrán regularizar, ni promocionar. Para inscribirse, deben hacerlo mediante el siguiente formulario: https://forms.gle/jtE3d6YDX6TFmpiX8.

Fechas de inscripción: desde el 2 de marzo a las 14:00 hs hasta el 13 de marzo a las 23:59 a través de Guaraní. Exceptuando las materias de primero año, que se habilitará a partir del miércoles 4 de marzo a las 14:00 hs.","📅 *Fechas de inscripción*:
👉 Desde el *2 de marzo* a las 14:00 hs hasta el *13 de marzo* a las 23:59 hs.
👉 *Materias de primer año*: Desde el *3 de marzo* a las 14:00 hs hasta el *14 de marzo* a las 23:59 hs.

🎓 *Ingresantes*:
Si promocionaste, aprobaste el examen o regularizaste el curso de nivelación, inscribite en Guaraní:
1️⃣ Entrá a Guaraní y buscá *Inscripción a Materias*.
2️⃣ Elegí la materia y hacé clic en *Inscribirse*.
3️⃣ Esperá unos días para entrar al *Aula Virtual*.

📌 *Notas*: Ya están cargadas en *Historia Académica* en Guaraní. Si rendiste el 4 de marzo, las notas estarán entre el 5 y 6 de marzo.

📌 *Inscripción condicional*: Si no hiciste la inscripción definitiva, completá este formulario: https://forms.gle/QPTgwJexfJqqqHKE7. Recordá hacer la inscripción definitiva apenas tengas el Certificado de Secundario Completo o Constancia, enviándola a despachoestudiantes@famaf.unc.edu.ar hasta el 30 de abril.

📚 *No ingresantes*:
Primero reinscribite a la propuesta en Guaraní. Luego
1️⃣ Entrá a *Inscripción a Materias*.
2️⃣ Elegí la materia y hacé clic en *Inscribirse*.
3️⃣ Esperá hasta el *10 de marzo* para entrar al *Aula Virtual*.

📌 *Horarios*: Verificalos en Guaraní en *Reportes > Agenda* o en https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.

📌 *Especialidades y Optativas*:
🔗 Completá este formulario: https://forms.gle/VccEhhg5BVnDU85H9. Te avisarán por email si fuiste inscripto.

📌 *Intercambio y Vocacionales*:
🔗 Información aquí: https://docs.google.com/document/d/1TPRDsXlJKBgg3A-l56oh-lBuLG4OV5gkBH_lz5Grutw/edit.

📌 *Alumno libre (solo para materias de segundo año en adelante)*:
🔗 Completá este formulario: https://forms.gle/jtE3d6YDX6TFmpiX8.
",
¿Cómo me inscribo para rendir el examen final de una materia?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse"".","*Pasos para inscribirte al final*:

1. Entrá a Guaraní: https://guarani.unc.edu.ar
2. Buscá la opción *Inscripción a Exámenes*
3. Elegí la materia que querés rendir
4. Seleccioná si lo hacés como *libre* o *regular*
5. ¡Dale a *Inscribirse* y listo!

¡Mucha suerte! 🍀 ",
¿Qué tengo que hacer si quiero cambiarme a otra carrera de FAMAF o cursar otra al mismo tiempo?,Cursado,"Para solicitar cambiar de carrera o cursar en paralelo varias de la oferta de grado de FAMAF, deberás llenar el siguiente formulario:

https://docs.google.com/forms/d/e/1FAIpQLSeNA8jXxGARDeebj0TdjXMmmXGNph0gZQPkzfliWZbcbN9KdQ/viewform

Las solicitudes se recibirán hasta la finalización de la primera semana de diciembre y se reabrirán el primer día hábil de febrero; serán resueltas en el término de 15 días hábiles a partir de la presentación y se informará por correo electrónico.

El trámite debe iniciarse por cada carrera que se desee cursar (por separado).","📌 *Cambio de Carrera dentro de FAMAF y Cursado Paralelo* 

Para pedir el cambio de carrera o cursar en paralelo otra de FAMAF, tenes que completar este formulario: 🔗 https://docs.google.com/forms/d/e/1FAIpQLSeNA8jXxGARDeebj0TdjXMmmXGNph0gZQPkzfliWZbcbN9KdQ/viewform

📅 *Plazos:* 
* Hasta la primera semana de diciembre.
* Se reabre el primer día hábil de febrero.

⏳ *Tiempo de respuesta:* 15 días hábiles desde que lo enviás.

📧 Te avisaremos por mail cuando esté listo.

⚠️ *Importante:* Tenés que hacer el trámite por cada carrera que quieras cursar.",
¿Dónde tengo que llenar el formulario para pedir equivalencias comunes entre carreras de FAMAF?,Cursado,"Al inscribirte en otra materia de FAMAF, el reconocimiento de materias se gestiona según la Resolución RHCD-2024-397-E-UNC-DEC#FAMAF de la siguiente manera:

- 1. TRÁMITE AUTOMÁTICO (Anexo I)
La actuación académica se transcribe de forma total y automática para materias que comparten el mismo código entre las carreras involucradas  (por ejemplo: Física General I posee el mismo código tanto en Licenciatura en Astronomía y Licenciatura en Física). Si la materia aparece listada en este anexo junto con las carreras de tu interés, el sistema procesa el reconocimiento sin necesidad de que realices una solicitud manual. 

La lista completa de todas las materias en el Anexo I puedes consultar aquí:
https://www.famaf.unc.edu.ar/documents/5076/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_I.pdf

- 2. TRÁMITE A SOLICITUD (Anexos II y III)
Debes solicitar el reconocimiento para materias que, aunque tengan códigos o nombres distintos, se consideran equivalentes según la carrera:

Materias equivalentes (Anexo II): Las materias listadas en el Anexo II son materias que se cursan de manera idéntica. Por ejemplo:
- Matemática Discreta I (03-00031) de Lic. en Ciencias de la Computación es equivalente a Matemática Discreta I (03-00082) de Licenciatura en Matemática Aplicada.
- Análisis Matemático I (03-01027) de Lic. en Hidrometeorología es equivalente a Cálculo I (03-00081) de Licenciatura en Matemática Aplicada.

Consulta la lista completa de materias del Anexo II aquí:
https://www.famaf.unc.edu.ar/documents/5077/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_II.pdf

Materias con contenidos equivalentes (Anexo III): Son materias cuyos contenidos cubren los de otras materias y se dictan simultáneamente. Por ejemplo:
- Análisis Numérico I (03-00124) de Licenciatura en Matemática equivale a Análisis Numérico (03-00240) de Lic. en Ciencias de la Computación.

Consulta la lista completa del Anexo III aquí:
https://www.famaf.unc.edu.ar/documents/5078/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_III.pdf

- ¿Cómo realizar la solicitud?
- 1. Para materias de los Anexos II y III o equivalencias internas comunes se debe llenar el siguiente formulario: https://forms.gle/bY9kevLfS6by49VA7
- 2. Si no figura en el formulario, completa esta nota (https://docs.google.com/document/d/1klRjzZnZstC-ES7BbqN3FYl0uB1LzheP/edit) y envíala a nfigueroa@unc.edu.ar.

Aviso importante: Las solicitudes se resuelven en 15 días hábiles y serás notificado por correo electrónico.","📌 *Equivalencias comunes entre carreras de FAMAF*

El trámite de reconocimiento se realizará de acuerdo a: 

* *Trámite automático*: si la materia tiene el *mismo código en ambas carreras* (ej: Física General I en Lic. en Astronomía y Lic. en Física), no tenés que hacer nada. Mirá la lista completa de materias con trámite automático acá: 🔗 https://www.famaf.unc.edu.ar/documents/5076/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_I.pdf
* *Trámite a solicitud*: si la materia tiene código o nombre distinto pero se consideran equivalentes, tenés que pedir la equivalencia. Hay dos casos:
      ↳ *Materias equivalentes*: poseen *cursadas idénticas* (ej: Matemática Discreta I en Lic. en Cs. de la Computación y Matemática Aplicada).
      ↳ *Materias con contenidos equivalentes*: contenidos similares pero dictadas en otra carrera (ej: Análisis Numérico I en Lic. en Matemática y Lic. en Cs. de la Computación).

*Lista completa de materias cuyas equivalencias se deben solicitar:* 
* 🔗 https://www.famaf.unc.edu.ar/documents/5077/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_II.pdf (Materias Equivalentes).
* 🔗 https://www.famaf.unc.edu.ar/documents/5078/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_III.pdf (Materias con contenidos equivalentes).

*¿Cómo pedirlas?*
👉 Rellená este formulario: https://forms.gle/bY9kevLfS6by49VA7.
👉 Si no figura en el formulario, completá esta nota: https://docs.google.com/document/d/1klRjzZnZstC-ES7BbqN3FYl0uB1LzheP/edit y enviála a nfigueroa@unc.edu.ar.

⚠️ *Aviso importante*: Las respuestas llegan en 15 días hábiles por correo electrónico.",
¿Cómo saco el certificado de alumno regular?,Cursado,"Para solicitar el certificado de alumno regular, se debe iniciar sesión en Guaraní, dirigirse a ""Trámites"" > ""Solicitar Constancias y Certificados"" > ""Nueva Solicitud""; ahí deberán completar los datos que le solicita el formulario y hacer clic en el botón de guardar. Automáticamente se generará el certificado.","📌 *Solicitar Certificado de alumno regular*

1. Entrá a Guaraní y andá a *Trámites* > *Solicitar Constancias y Certificados* > *Nueva Solicitud*.
2. Completá los datos que te solicitan y guardá.
3. ¡Listo! El certificado se genera automáticamente.",
¿Qué tengo que hacer para inscribirme al trabajo especial?,Egreso,"Las inscripciones al trabajo especial son a principio de cada cuatrimestre. Debés enviar por email un resumen, de aproximadamente 10 líneas , y un plan de trabajo que incluya la bibliografía que vas a comenzar a usar, acompañada de una nota solicitando la inscripción (modelo adjunto) en un único PDF. Todo debe estar firmado por vos y el/la/los director/a/es.

Si tenes alguna otra duda, podes leer el reglamento del trabajo especial donde podés encontrar toda la información que necesites asociada a este tema:

https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf","📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscirbir mi tesis?,Egreso,"Las inscripciones al trabajo especial son a principio de cada cuatrimestre. Debés enviar por email un resumen, de aproximadamente 10 líneas , y un plan de trabajo que incluya la bibliografía que vas a comenzar a usar, acompañada de una nota solicitando la inscripción (modelo adjunto) en un único PDF. Todo debe estar firmado por vos y el/la/los director/a/es.

Si tenes alguna otra duda, podes leer el reglamento del trabajo especial donde podés encontrar toda la información que necesites asociada a este tema:

https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf","📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscribir mi trabajo final?,Egreso,"Las inscripciones al trabajo especial son a principio de cada cuatrimestre. Debés enviar por email un resumen, de aproximadamente 10 líneas , y un plan de trabajo que incluya la bibliografía que vas a comenzar a usar, acompañada de una nota solicitando la inscripción (modelo adjunto) en un único PDF. Todo debe estar firmado por vos y el/la/los director/a/es.

Si tenes alguna otra duda, podes leer el reglamento del trabajo especial donde podés encontrar toda la información que necesites asociada a este tema:

https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf","📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscribir mi trabajo de grado?,Egreso,"Las inscripciones al trabajo especial son a principio de cada cuatrimestre. Debés enviar por email un resumen, de aproximadamente 10 líneas , y un plan de trabajo que incluya la bibliografía que vas a comenzar a usar, acompañada de una nota solicitando la inscripción (modelo adjunto) en un único PDF. Todo debe estar firmado por vos y el/la/los director/a/es.

Si tenes alguna otra duda, podes leer el reglamento del trabajo especial donde podés encontrar toda la información que necesites asociada a este tema:

https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf","📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Dónde encuentro los Planes de Estudio?,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.","📌 *Planes de Estudio*

Ingresá a este enlace para poder ver todos los planes de estudio 
🔗 https://www.famaf.unc.edu.ar/academica/grado/",
¿Cuáles son los horarios del Despacho de Estudiantes?,Información General,"Para recibir atención presencial tenes que dirigirte a la ventanilla del Despacho de Estudiantes, ubicada en el primer piso de FAMAF.  

Los horarios de atención son 

Lunes de 8:30 a 14:30 hs
Martes a Jueves de 8:30 a 18:00 hs
Viernes de 8:30 a 17:00 hs

Por consultas vía email: despachoestudiantes@famaf.unc.edu.ar","El *Despacho de Estudiantes* está en el *primer piso* de FAMAF. 

⏰ *Horarios*: 
* *Lunes*: 8:30 a 14:30 hs.
* *Martes a Jueves*: 8:30 a 18:00 hs.
* *Viernes*: 8:30 a 17:00 hs 

📧 Si necesitás ayuda por mail, escribí a despachoestudiantes@famaf.unc.edu.ar.",
¿Cuál es el correo de la Secretaría de Asuntos Estudiantiles (SAE)?,Información General,El correo electrónico de la SAE es sae@famaf.unc.edu.ar,El correo de la *Secretaría de Asuntos Estudiantiles* (SAE) es sae@famaf.unc.edu.ar.,
¿Cómo se hace el trámite para el Boleto Educativo Gratuito (BEG) o Boleto Educativo Cordobés?,Información General,"Antes que nada, tenés que: 
- Estar inscripto en las materias que vas a cursar durante el cuatrimestre.
- Tener Ciudadano Digital nivel 2.

Luego:

1. Entra a Guaraní.
2. En la pestaña ""Trámites"" dirigite a ""Tramitar Boleto Estudiantil Gratuito"".
3. Autorizar a la Secretaría de Transporte a consultar los datos para el BEG.
4. Acceder al ""Ciudadano Digital"" a través del sitio web https://cidi.cba.gov.ar/portal-publico/
5. Completar el Formulario Único de Postulantes.

De acuerdo a la situación particular de cada uno, se responderá por correo electrónico cómo proceder en cada caso.

Si no hiciste el traspaso a micronauta, debes sacar turno en la Oficina de Transporte para que te entregen la nueva tarjeta ya activada.

Para más información podés consultar: https://www.cba.gov.ar/boleto-cordobes/","🚌 *Boleto Educativo Cordobés*

📌 *Requisitos previos*:
* *Estar inscripto* en las materias que vas a cursar este cuatri.
* Tener *Ciudadano Digital nivel 2*.

👉 *Pasos para el trámite*:
1️⃣ Entrá a Guaraní.
2️⃣ En *Trámites* elegí *Tramitar Boleto Estudiantil Gratuito*.
3️⃣ Autorizá a la Secretaría de Transporte a consultar tus datos.
4️⃣ Entrá a *Ciudadano Digital*: https://cidi.cba.gov.ar/portal-publico/.
5️⃣ Completá el *Formulario Único de Postulantes*.

📌 *Importante*:
* Te van a responder por *correo electrónico* con los pasos a seguir.
* Si no hiciste el traspaso a *micronauta*, sacá turno en la Oficina de Transporte para activar tu tarjeta.

🔍 *Más info*: https://www.cba.gov.ar/boleto-cordobes/",
¿Cómo me inscribo a la Beca del Comedor Universitario (Nutrirse) de la UNC?,Información General,"Para inscribirte a las Becas Nutrirse 2026 del comedor universitario tenes tiempo de hacerlo desde el 23/02 al 02/03 a través de Guaraní.

Para iniciar el trámite deberás: 

1. Ingresar al sistema Guaraní.
2. Dirigirte a la pestaña de ""Trámites"" y seleccionar ""Tramitar Accesos SAE UNC"". Una vez dentro, verificar que la casilla ""Autorizo a la Secretaría de Asuntos Estudiantiles UNC a cosultar mis datos"" esté marcada y hacer clic en ""Guardar"".
3. Desplegar la sección de ""Trámites"" nuevamente y selecciona ""Convocatoria a Becas"".
4. Una vez dentro, seleccionar la convocatoria a la Beca Nutrirse y haga clic en el botón aplicar.
5. Revisar la información proporcionada y si todo es correcto hacer clic en ""Aceptar"".
6. Completar en ""Datos Personales"" todas las secciones y marcar el casillero ""Declaro que mis datos son correctos"", luego hacer clic en el botón ""Continuar"".
7. Adjuntar la documentación digital requerida haciendo clic en ""Documento Digital"" para adjuntar los documentos, luego apretar en ""Examinar"" para seleccionar los documentos en la computadora y una vez seleccionados, hacer clic en ""Subir"". Esto debe hacerse con cada documento marcado como obligatorio y darle a ""Continuar"".
8. Completar el cuestionario que figura en pantalla y darle a ""Terminar"".

Para revisar el estado de la postulación ingresar a ""Convocatoria a Becas"" y visualizar el ""Estado"":
- Requiere modificaciones indica que el postulante debe revisar, corregir, ampliar, volver a adjuntar documentación.
- No benficiaro de becas indica que no es beneficiario de la beca.
- Beneficiario: El postulante ha obtenido la beca solicitada.

Por cualquier duda o consulta, podes revisar los siguiente enlaces que contienen toda la información necesaria, junto con preguntas frecuentes y medios de contacto ante posibles problemas:
https://www.unc.edu.ar/sites/default/files/Tutorial%20Becas%202025.pdf  (instructivo con capturas para inscribirse a la beca, preguntas frecuentes y contacto)
https://www.unc.edu.ar/vida-estudiantil/becas-nutrirse-2026 (información General sobre la postulación a la Beca Nutrirse 2026)","📌 *Inscripción a Beca Nutrirse 2026*: Tenés tiempo desde el *23/02* hasta el *02/03* para anotarte.

*Pasos para la inscripción*: 

1️⃣ Entrá a *Guaraní*: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Andá a *Trámites* > *Tramitar Accesos SAE UNC*. 
3️⃣ Marcá la casilla *Autorizo a la Secretaría de Asuntos Estudiantiles UNC a consultar mis datos* y guardá. 
4️⃣ Volvé a *Trámites* y elegí *Convocatoria a Becas*. 
5️⃣ Seleccioná *Beca Nutrirse* y hacé clic en *Aplicar*. 
6️⃣ Revisá la info y aceptá si todo está bien. 
7️⃣ Completá *Datos Personales*, marcá *Declaro que mis datos son correctos* y continuá. 
8️⃣ Subí la documentación digital requerida (hacé clic en *Documento Digital* > *Examinar* > *Subir*). 
9️⃣ Completá el cuestionario y terminá. 

*¿Cómo saber el estado de mi postulación?* 
Entrá a *Convocatoria a Becas* y mirá el *Estado*: 
* *Requiere modificaciones*: Tenés que corregir o subir documentación. 
* *No beneficiario de becas*: No te dieron la beca.
* *Beneficiario*: ¡Sos beneficiario de la beca! 🎉 

💡 *¿Dudas?* Mirá estos enlaces: 
*Tutorial paso a paso*: 
🔗 https://www.unc.edu.ar/sites/default/files/Tutorial%20Becas%202025.pdf.
*Info general*: 
🔗 https://www.unc.edu.ar/vida-estudiantil/becas-nutrirse-2026.
",
¿Cuál es el material de estudio para el curso de ingreso 2026?,Ingreso,"El material de estudio que se usará durante el cursado del Curso de Nivelación lo podés encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf

El mismo abarca los temas a desarrollar durante las clases, junto con una serie de ejercicios para afianzar los contenidos."," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el curso de nivelación?,Ingreso,"El material de estudio que se usará durante el cursado del Curso de Nivelación lo podés encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf

El mismo abarca los temas a desarrollar durante las clases, junto con una serie de ejercicios para afianzar los contenidos."," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el cursillo?,Ingreso,"El material de estudio que se usará durante el cursado del Curso de Nivelación lo podés encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf

El mismo abarca los temas a desarrollar durante las clases, junto con una serie de ejercicios para afianzar los contenidos."," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el ingreso?,Ingreso,"El material de estudio que se usará durante el cursado del Curso de Nivelación lo podés encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf

El mismo abarca los temas a desarrollar durante las clases, junto con una serie de ejercicios para afianzar los contenidos."," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
