Preguntas,Categoría,Respuesta Mejorada, 
¿Cuándo se puede rendir el trabajo final?,Egreso,"📌 *Rendir el Trabajo Especial*
Se puede rendir durante las épocas de exámenes establecidas.

*¿Qué necesitás para rendirlo?*
Tenés que presentar una nota dirigida al/a la Decano/a de FAMAF, con el aval de tus directores/as con:
* El *título definitivo* del trabajo.
* La *fecha propuesta* para el examen.
* El *tribunal examinador*.
* Adjuntá la *carátula* del trabajo.

Además, deberás entregar una copia impresa del trabajo a cada miembro del tribunal.

⚠️ *Importante:* La presentación de todo esto debe ser *30 días antes* de la fecha de examen propuesta.

🔍 Más info en el Reglamento: https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf",
¿Cuándo se puede rendir el trabajo de grado?,Egreso,"📌 *Rendir el Trabajo Especial*
Se puede rendir durante las épocas de exámenes establecidas.

*¿Qué necesitás para rendirlo?*
Tenés que presentar una nota dirigida al/a la Decano/a de FAMAF, con el aval de tus directores/as con:
* El *título definitivo* del trabajo.
* La *fecha propuesta* para el examen.
* El *tribunal examinador*.
* Adjuntá la *carátula* del trabajo.

Además, deberás entregar una copia impresa del trabajo a cada miembro del tribunal.

⚠️ *Importante:* La presentación de todo esto debe ser *30 días antes* de la fecha de examen propuesta.

🔍 Más info en el Reglamento: https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf",
¿Cómo me inscribo en la Biblioteca de FAMAF para retirar libros?,Información General,"📚 *Inscripción en la Biblioteca de FAMAF*

Para inscribirte y retirar libros, tenés que acercarte un día a la biblio de *lunes a viernes de 10 a 12 hs* con tu *DNI* y el *certificado de alumno regular* (que podés mostrarlo desde el celu).

¡Listo! Ya podés empezar a usar la biblioteca. 😊",
¿Dónde puedo ver las correlatividades de mi carrera?,Información General,"📌 *Correlatividades*

Para ver todas las correlatividades : 
* Ingresa esta enlace: 🔗 https://www.famaf.unc.edu.ar/academica/grado/
* Seleccioná tu carrera en la lista.
* Buscá la sección *Características de la Carrera*.
* Ahí vas a encontrar el *Régimen de Correlatividades* con toda la info. 

¡Espero que te sirva! 😊",
¿Donde puedo consultar la fecha de las colaciones?,Egreso,"📅 *Fechas de colación 2026*: 
* *25/06* (1er cuatrimestre).
* *26/11* (2do cuatrimestre). 

🔎 Para más detalles, mirá el *Calendario Académico* en: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/. 

Ahí vas a encontrar todo sobre cursado, exámenes y colaciones. 😊",
¿Cuales son los horarios de biblioteca?,Información General,Los *horarios de la Biblioteca Daniel Oscar Sonzini (FAMAF)* 📚 son de lunes a viernes: 8:30 a 18:30 hs.,
Descripción de las distintas áreas y secretarías,Información General,"📌 *Áreas y secretarías de la FAMAF*

👉 *Dirección General de Áreas (DGA)*
Coordinan al personal técnico-administrativo y ayudan con políticas de recursos humanos. Controlan ausentismo.

👉 *Área de Enseñanza (ADE)*
Gestionan inscripciones a materias y exámenes. La Oficialía maneja actas, certificados y registros de egresados.

👉 *Área de Personal y Sueldos (DPS)*
Se ocupan de sueldos, licencias y documentación laboral del personal.

👉 *Departamento de Informática (DI)*
Manejan la infraestructura informática, soporte técnico y redes.

👉 *Taller de Mecánica de Precisión*
https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/taller-de-mec%C3%A1nica-de-precisi%C3%B3n/

👉 *Taller de Electrónica*
Diseñan, construyen y reparan equipamiento electrónico para actividades académicas.

👉 *Área de Mantenimiento y Maestranza*
Se encargan del mantenimiento del edificio y servicios generales.

👉 *Área de Posgrado*
https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-de-posgrado/

👉 *Área Económico-Financiera*
Administran recursos económicos, pagos, proveedores y fondos.

👉 *Área Administrativa*
Gestionan trámites administrativos, concursos y evaluación docente.

👉 *Biblioteca “Daniel Oscar Sonzini”*
Ofrecen servicios de información, colecciones bibliográficas y bases de datos académicas.",
Donde encuentro el plan de estudio de la carrera de Computación,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de la carrera de Matemática,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de la carrera de Astronomía,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de la carrera de Física,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de la carrera de Matemática Aplicada,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de la carrera de Hidrometeorología,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio del Profesorado en Matemática,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio del Profesorado en Física,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de Analista en Computación,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de Tecnicatura en Matemática Aplicada,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
Donde encuentro el plan de estudio de Tecnicatura en Astronomía,Información General,"📚 *Planes de estudio*

Los podés encontrar siguiendo estos pasos:
1️⃣ Ingresá siguiente enlace: https://www.famaf.unc.edu.ar/academica/grado/
2️⃣ Seleccioná la carrera que te interese.
3️⃣ Al final de la página vas a poder encontrar su Plan de Estudio.",
¿Cómo me inscribo para rendir el examen final de Álgebra?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Análisis Matemático?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Introducción a la Física?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física General?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Álgebra II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Análisis Numérico II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Geometría Diferencial?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Probabilidad?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Análisis Numérico I?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Análisis Matemático III?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Álgebra III?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Análisis Matemático II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Seminarios Astronómicos?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física Experimental?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física General II ?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Astronomía General?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Métodos Matemáticos de la Física?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física Experimental II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Métodos Numéricos?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Introducción a los Algoritmos?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Matemática Discreta?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
Cómo me inscribo para rendir el examen final de Algoritmos y Estructuras de Datos?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Algoritmos y Estructuras de Datos II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Probabilidad y Estadística?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Organización del Computador?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Introducción a la Lógica y la Computación ?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de intro a la logica?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Sistemas Operativos?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Algoritmos y Programación?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Cálculo?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Cálculo II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Álgebra Lineal?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Física II?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Cálculo Vectorial?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Funciones Complejas?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Complementos de Álgebra Lineal?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Psicología del Aprendizaje?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Elementos de Física?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Pedagogía?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Geometría?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Cómo me inscribo para rendir el examen final de Complementos de Análisis?,Exámenes,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Dónde puedo ver las correlatividades de Matemática?,Información General,"📚 *Pasos para inscribirte a los finales*

1️⃣ Entrá a Guaraní: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Buscá la opción *Inscripción a Exámenes*.
3️⃣ Elegí la materia que querés rendir.
4️⃣ Decidí si rendís como *libre* o *regular*

✅ Hacé clic en *Inscribirse* y listo!

¿Necesitás ayuda con algo más?",
¿Dónde puedo ver las correlatividades de Astronomia?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Fisica?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Computación?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Matemática Aplicada?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Hidrometeorología?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
